道具ID,道具代码,道具英文名称,项目类型类型,价格,项目天数,简短描述,道具中文名称,详细描述
2010027301,C0284,MK5-Silver-XMAS 7day,W,1500,7,MK5-Silver-XMAS 7day,MK5-圣诞,圣诞纪念版MK5，弹匣容量增至45发，适合冲锋陷阵。
2010027302,C0284,MK5-Silver-XMAS 30day,W,4600,30,MK5-Silver-XMAS 30day,MK5-圣诞,圣诞纪念版MK5，弹匣容量增至45发，适合冲锋陷阵。
2010027303,C0284,MK5-Silver-XMAS 90day,W,11111,90,MK5-Silver-XMAS 90day,MK5-圣诞,圣诞纪念版MK5，弹匣容量增至45发，适合冲锋陷阵。
2010027304,C0284,MK5-Silver-XMAS 180day,W,11111,180,MK5-Silver-XMAS 180day,MK5-圣诞,圣诞纪念版MK5，弹匣容量增至45发，适合冲锋陷阵。
2010027401,C0285,M249 MINIMI-XMAS 7day,W,1900,7,M249 MINIMI-XMAS 7day,M249 MINIMI-圣诞,"圣诞纪念版M249 MINIMI，弹匣容量
增加了25发，火力猛烈而持久！"
2010027402,C0285,M249 MINIMI-XMAS 30day,W,5700,30,M249 MINIMI-XMAS 30day,M249 MINIMI-圣诞,"圣诞纪念版M249 MINIMI，弹匣容量
增加了25发，火力猛烈而持久！"
2010027403,C0285,M249 MINIMI-XMAS 90day,W,11111,90,M249 MINIMI-XMAS 90day,M249 MINIMI-圣诞,"圣诞纪念版M249 MINIMI，弹匣容量
增加了25发，火力猛烈而持久！"
2010027404,C0285,M249 MINIMI-XMAS 180day,W,11111,180,M249 MINIMI-XMAS 180day,M249 MINIMI-圣诞,"圣诞纪念版M249 MINIMI，弹匣容量
增加了25发，火力猛烈而持久！"
2010027501,C0286,KERIS-XMAS 7day,W,1600,7,KERIS-XMAS 7day,马来剑-圣诞,圣诞纪念版马来剑，华丽外表下隐藏着无尽的杀意！
2010027502,C0286,KERIS-XMAS 30day,W,5000,30,KERIS-XMAS 30day,马来剑-圣诞,圣诞纪念版马来剑，华丽外表下隐藏着无尽的杀意！
2010027503,C0286,KERIS-XMAS 90day,W,11111,90,KERIS-XMAS 90day,马来剑-圣诞,圣诞纪念版马来剑，华丽外表下隐藏着无尽的杀意！
2010027504,C0286,KERIS-XMAS 180day,W,11111,180,KERIS-XMAS 180day,马来剑-圣诞,圣诞纪念版马来剑，华丽外表下隐藏着无尽的杀意！
2010027601,C0287,Ruger Bisley 7day,W,800,7,Ruger Bisley 7day,Ruger Bisley  ,"美国Sturm Ruger公司研发的左轮
手枪Bisley，具有精准度高和杀伤
力强的特点，但因枪身较长而略重。"
2010027602,C0287,Ruger Bisley 30day,W,2400,30,Ruger Bisley 30day,Ruger Bisley  ,"美国Sturm Ruger公司研发的左轮
手枪Bisley，具有精准度高和杀伤
力强的特点，但因枪身较长而略重。"
2010027603,C0287,Ruger Bisley 90day,W,4900,90,Ruger Bisley 90day,Ruger Bisley  ,"美国Sturm Ruger公司研发的左轮
手枪Bisley，具有精准度高和杀伤
力强的特点，但因枪身较长而略重。"
2010027604,C0287,Ruger Bisley 180day,W,6800,180,Ruger Bisley 180day,Ruger Bisley  ,"美国Sturm Ruger公司研发的左轮
手枪Bisley，具有精准度高和杀伤
力强的特点，但因枪身较长而略重。"
2010027701,C0288,VSK-94 7day,W,1800,7,VSK-94 7day,VSK-94  ,VSK-94是由俄罗斯KBP公司生产的狙击步枪，相比其他狙击枪此枪具有小巧、轻便和消音的特点。现装备于俄罗斯“阿尔法特种部队”。
2010027702,C0288,VSK-94 30day,W,5800,30,VSK-94 30day,VSK-94  ,VSK-94是由俄罗斯KBP公司生产的狙击步枪，相比其他狙击枪此枪具有小巧、轻便和消音的特点。现装备于俄罗斯“阿尔法特种部队”。
2010027703,C0288,VSK-94 90day,W,8800,90,VSK-94 90day,VSK-94  ,VSK-94是由俄罗斯KBP公司生产的狙击步枪，相比其他狙击枪此枪具有小巧、轻便和消音的特点。现装备于俄罗斯“阿尔法特种部队”。
2010027704,C0288,VSK-94 180day,W,11800,180,VSK-94 180day,VSK-94  ,VSK-94是由俄罗斯KBP公司生产的狙击步枪，相比其他狙击枪此枪具有小巧、轻便和消音的特点。现装备于俄罗斯“阿尔法特种部队”。
1010041401,B0353,snow_backpack 7day,D,1000,7,snow_backpack 7day,雪人背包,欢快的雪人，不会融化！装备后经验值增加10%，可叠加。
1010041402,B0353,snow_backpack 30day,D,3000,30,snow_backpack 30day,雪人背包,欢快的雪人，不会融化！装备后经验值增加10%，可叠加。
1010041501,B0354,snow_sad_helmet 7day,D,1000,7,snow_sad_helmet 7day,忧郁雪人帽,我忧郁的样子，只是因为找不到敌手。装备后经验值增加10%，可叠加。
1010041502,B0354,snow_sad_helmet 30day,D,3000,30,snow_sad_helmet 30day,忧郁雪人帽,我忧郁的样子，只是因为找不到敌手。装备后经验值增加10%，可叠加。
1010041601,B0355,snow_smile_helmet 7day,D,900,7,snow_smile_helmet 7day,微笑雪人帽,我微笑着，看见对手倒在脚下。装备后经验值增加10%，可叠加。
1010041602,B0355,snow_smile_helmet 30day,D,2800,30,snow_smile_helmet 30day,微笑雪人帽,我微笑着，看见对手倒在脚下。装备后经验值增加10%，可叠加。
9000047801,I0281,SPRAY-XMAS-A 7day,F,800,7,SPRAY-XMAS-A 7day,圣诞快乐喷图,使用方法：在个人仓库中用左键激活，然后在游戏中按“T”键喷图
9000047802,I0281,SPRAY-XMAS-A 30day,F,2400,30,SPRAY-XMAS-A 30day,圣诞快乐喷图,使用方法：在个人仓库中用左键激活，然后在游戏中按“T”键喷图
9000047901,I0282,SPRAY-XMAS-B 7day,F,800,7,SPRAY-XMAS-B 7day,圣诞雪人喷图,使用方法：在个人仓库中用左键激活，然后在游戏中按“T”键喷图
9000047902,I0282,SPRAY-XMAS-B 30day,F,2400,30,SPRAY-XMAS-B 30day,圣诞雪人喷图,使用方法：在个人仓库中用左键激活，然后在游戏中按“T”键喷图
9000048001,I0283,NAMECARD-XMAS-A 7day,F,700,7,NAMECARD-XMAS-A 7day,绿色圣诞名片,将名称背景显示为圣诞名片
9000048002,I0283,NAMECARD-XMAS-A 30day,F,2100,30,NAMECARD-XMAS-A 30day,绿色圣诞名片,将名称背景显示为圣诞名片
9000048101,I0284,NAMECARD-XMAS-B 7day,F,700,7,NAMECARD-XMAS-B 7day,红色圣诞名片,将名称背景显示为圣诞名片
9000048102,I0284,NAMECARD-XMAS-B 30day,F,2100,30,NAMECARD-XMAS-B 30day,红色圣诞名片,将名称背景显示为圣诞名片
2010027801,C0289,M4A1-Royal Dragon 7day,W,11111,7,M4A1-Royal Dragon 7day,M4A1-春节,在M4A1的基础上加装了消音器，增加了弹匣容量并加快了上弹速度，从而大幅提高了整体战斗力。使用特殊材料制作的黄金战龙外观，让整把枪散发着王者霸气。
2010027802,C0289,M4A1-Royal Dragon 30day,W,5800,30,M4A1-Royal Dragon 30day,M4A1-战龙,在M4A1的基础上加装了消音器，增加了弹匣容量并加快了上弹速度，从而大幅提高了整体战斗力。使用特殊材料制作的黄金战龙外观，让整把枪散发着王者霸气。
2010027803,C0289,M4A1-Royal Dragon 90day,W,11111,90,M4A1-Royal Dragon 90day,M4A3-春节,在M4A1的基础上加装了消音器，增加了弹匣容量并加快了上弹速度，从而大幅提高了整体战斗力。使用特殊材料制作的黄金战龙外观，让整把枪散发着王者霸气。
2010027804,C0289,M4A1-Royal Dragon 180day,W,11111,180,M4A1-Royal Dragon 180day,M4A4-春节,在M4A1的基础上加装了消音器，增加了弹匣容量并加快了上弹速度，从而大幅提高了整体战斗力。使用特殊材料制作的黄金战龙外观，让整把枪散发着王者霸气。
2010027901,C0290,M82A1-Royal Dragon 7day,W,11111,7,M82A1-Royal Dragon 7day,Barrett M82A1-春节,"以美国Barrett公司的反器材狙击步枪M82A1为原型制作的特别版，枪身犹如盘绕着一条黄金战龙，彰显着使用者的实力,是一把兼具性能和收藏价值的不可多得的神兵。"
2010027902,C0290,M82A1-Royal Dragon 30day,W,6000,30,M82A1-Royal Dragon 30day,Barrett-战龙,"以美国Barrett公司的反器材狙击步枪M82A1为原型制作的特别版，枪身犹如盘绕着一条黄金战龙，彰显着使用者的实力,是一把兼具性能和收藏价值的不可多得的神兵。"
2010027903,C0290,M82A1-Royal Dragon 90day,W,11111,90,M82A1-Royal Dragon 90day,Barrett M82A1-春节,"以美国Barrett公司的反器材狙击步枪M82A1为原型制作的特别版，枪身犹如盘绕着一条黄金战龙，彰显着使用者的实力,是一把兼具性能和收藏价值的不可多得的神兵。"
2010027904,C0290,M82A1-Royal Dragon 180day,W,11111,180,M82A1-Royal Dragon 180day,Barrett M82A1-春节,"以美国Barrett公司的反器材狙击步枪M82A1为原型制作的特别版，枪身犹如盘绕着一条黄金战龙，彰显着使用者的实力,是一把兼具性能和收藏价值的不可多得的神兵。"
2010028001,C0291,M1896-Royal Dragon 7day,W,11111,7,M1896-Royal Dragon 7day,毛瑟手枪-战龙,以著名的毛瑟手枪为原型，增加了装弹数，具有单发和3连发两种模式，稀有的黄金战龙皮肤使这把名枪更加珍贵。
2010028002,C0291,M1896-Royal Dragon 30day,W,4500,30,M1896-Royal Dragon 30day,毛瑟手枪-战龙,以著名的毛瑟手枪为原型，增加了装弹数，具有单发和3连发两种模式，稀有的黄金战龙皮肤使这把名枪更加珍贵。
2010028003,C0291,M1896-Royal Dragon 90day,W,11111,90,M1896-Royal Dragon 90day,毛瑟手枪-战龙,以著名的毛瑟手枪为原型，增加了装弹数，具有单发和3连发两种模式，稀有的黄金战龙皮肤使这把名枪更加珍贵。
2010028004,C0291,M1896-Royal Dragon 180day,W,11111,180,M1896-Royal Dragon 180day,毛瑟手枪-战龙,以著名的毛瑟手枪为原型，增加了装弹数，具有单发和3连发两种模式，稀有的黄金战龙皮肤使这把名枪更加珍贵。
2010028101,C0292,Kukri-Royal Dragon 7day,W,11111,7,Kukri-Royal Dragon 7day,尼泊尔军刀-春节,制作极为精美的尼泊尔军刀，整体使用了稀有材质，并在刀刃和手柄处镶嵌尊贵的黄金战龙以及红宝石，具有很高的收藏价值。败倒在如此华丽的兵刃下也不失为一种荣耀。
2010028102,C0292,Kukri-Royal Dragon 30day,W,4500,30,Kukri-Royal Dragon 30day,尼泊尔军刀-战龙,制作极为精美的尼泊尔军刀，整体使用了稀有材质，并在刀刃和手柄处镶嵌尊贵的黄金战龙以及红宝石，具有很高的收藏价值。败倒在如此华丽的兵刃下也不失为一种荣耀。
2010028103,C0292,Kukri-Royal Dragon 365day,W,11111,365,Kukri-Royal Dragon 365day,尼泊尔军刀-春节,制作极为精美的尼泊尔军刀，整体使用了稀有材质，并在刀刃和手柄处镶嵌尊贵的黄金战龙以及红宝石，具有很高的收藏价值。败倒在如此华丽的兵刃下也不失为一种荣耀。
2010028201,C0293,M16A3 LMG 7day,W,1200,7,M16A3 LMG 7day,M16A3 LMG,M16A3LMG是美国Colt公司在M16的基础上研发的支援武器，具有极强的火力压制能力。与其他机枪不同的是，它加装了瞄准镜，可以在中远距离进行精确射击，可谓如虎添翼。
2010028202,C0293,M16A3 LMG 30day,W,3600,30,M16A3 LMG 30day,M16A3 LMG,M16A3LMG是美国Colt公司在M16的基础上研发的支援武器，具有极强的火力压制能力。与其他机枪不同的是，它加装了瞄准镜，可以在中远距离进行精确射击，可谓如虎添翼。
2010028203,C0293,M16A3 LMG 90day,W,5500,90,M16A3 LMG 90day,M16A3 LMG,M16A3LMG是美国Colt公司在M16的基础上研发的支援武器，具有极强的火力压制能力。与其他机枪不同的是，它加装了瞄准镜，可以在中远距离进行精确射击，可谓如虎添翼。
2010028204,C0293,M16A3 LMG 180day,W,7800,180,M16A3 LMG 180day,M16A3 LMG,M16A3LMG是美国Colt公司在M16的基础上研发的支援武器，具有极强的火力压制能力。与其他机枪不同的是，它加装了瞄准镜，可以在中远距离进行精确射击，可谓如虎添翼。
1010041701,B0356,Lotto God helmet 7day,D,11111,7,Lotto God helmet 7day,招财帽,新年戴上它，能为自己带来滚滚财源！装备后经验增加10%，可叠加。
1010041702,B0356,Lotto God helmet  30day,D,1800,30,Lotto God helmet  30day,招财帽,新年戴上它，能为自己带来滚滚财源！装备后经验增加10%，可叠加。
1010041801,B0357,Maya helmet 7day,D,11111,7,Maya helmet 7day,玛雅预言者头饰,传说中玛雅预言者所戴的头饰，戴上之后仿佛拥有了未卜先知的力量。装备后经验值增加10%，可叠加。
1010041802,B0357,Maya helmet 30day,D,1800,30,Maya helmet 30day,玛雅预言者头饰,传说中玛雅预言者所戴的头饰，戴上之后仿佛拥有了未卜先知的力量。装备后经验值增加10%，可叠加。
9000048201,I0285,NOA namecard 7day,F,700,7,NOA namecard 7day,2012方舟船票名片,2012将近，方舟船票一票难求。使用后将名称背景显示为2012方舟船票名片。
9000048202,I0285,NOA namecard 30day,F,2100,30,NOA namecard 30day,2012方舟船票名片,2012将近，方舟船票一票难求。使用后将名称背景显示为2012方舟船票名片。
9000048301,I0286,Dragon namecard 7day,F,600,7,Dragon namecard 7day,龙年黄金名片,龙年限定版名片。使用后将名称背景显示为龙年黄金名片。
9000048302,I0286,Dragon namecard 30day,F,1800,30,Dragon namecard 30day,龙年黄金名片,龙年限定版名片。使用后将名称背景显示为龙年黄金名片。
9000048401,I0287,NOA spray 7day,F,800,7,NOA spray 7day,2012方舟船票喷图,2012将近，方舟船票一票难求。使用方法：在个人仓库中用左键激活，然后在游戏中按“T”键喷图。
9000048402,I0287,NOA spray 30day,F,2400,30,NOA spray 30day,2012方舟船票喷图,2012将近，方舟船票一票难求。使用方法：在个人仓库中用左键激活，然后在游戏中按“T”键喷图。
9000048501,I0288,Dragon spray 7day,F,700,7,Dragon spray 7day,龙年黄金喷图,龙年限定版喷图。使用方法：在个人仓库中用左键激活，然后再游戏中按“T”键喷图。
9000048502,I0288,Dragon spray 30day,F,2100,30,Dragon spray 30day,龙年黄金喷图,龙年限定版喷图。使用方法：在个人仓库中用左键激活，然后再游戏中按“T”键喷图。
2010028301,C0294,FN F2000-Green Skull 7day,W,999999999,7,FN F2000-Green Skull 7day,FN F2000-绿魔,以具有高射速和高精度等优点的F2000为原型，利用稀有材质重新打造的F2000-绿魔具有更大的弹匣容量和更高的战斗力。神秘的绿色骷髅外观，让这把杀敌利器透着几分鬼魅，有着很高的收藏价值。
2010028302,C0294,FN F2000-Green Skull 30day,W,999999999,30,FN F2000-Green Skull 30day,FN F2000-绿魔,以具有高射速和高精度等优点的F2000为原型，利用稀有材质重新打造的F2000-绿魔具有更大的弹匣容量和更高的战斗力。神秘的绿色骷髅外观，让这把杀敌利器透着几分鬼魅，有着很高的收藏价值。
2010028401,C0295,MG3-Perfect Silver 7day,W,999999999,7,MG3-Perfect Silver 7day,MG3-银色杀手,在德国Rheinmetall公司生产的MG3的基础上进行了改造，继承了高杀伤力和有效射程远的优点，并且成功实现了轻量化和装弹量的提升，作战能力大大提高。枪身和子弹都使用了稀有的银合金，非常适合对抗生化幽灵。
2010028402,C0295,MG3-Perfect Silver 30day,W,999999999,30,MG3-Perfect Silver 30day,MG3-银色杀手,在德国Rheinmetall公司生产的MG3的基础上进行了改造，继承了高杀伤力和有效射程远的优点，并且成功实现了轻量化和装弹量的提升，作战能力大大提高。枪身和子弹都使用了稀有的银合金，非常适合对抗生化幽灵。
2010028501,C0296,Dual D.E-Green Vein 7day,W,999999999,7,Dual D.E-Green Vein 7day,双枪沙鹰-幽灵,威力强大的沙漠之鹰的双枪版本，增加了装弹数，提升了持续作战的能力。由于使用了特殊的“幽灵之血”材料进行制作，双枪沙鹰-幽灵具有独一无二的外观，极具收藏价值
2010028502,C0296,Dual D.E-Green Vein 30day,W,999999999,30,Dual D.E-Green Vein 30day,双枪沙鹰-幽灵,威力强大的沙漠之鹰的双枪版本，增加了装弹数，提升了持续作战的能力。由于使用了特殊的“幽灵之血”材料进行制作，双枪沙鹰-幽灵具有独一无二的外观，极具收藏价值
2010028601,C0297,M1216 7day,W,999999999,7,M1216 7day,M1216  ,美国SRM Arms公司研发的新型霰弹枪，使用了旋转式大容量弹匣，具有装弹量大、射击动作稳定、威力猛的特点，非常适合中近距离作战
2010028602,C0297,M1216 30day,W,999999999,30,M1216 30day,M1216  ,美国SRM Arms公司研发的新型霰弹枪，使用了旋转式大容量弹匣，具有装弹量大、射击动作稳定、威力猛的特点，非常适合中近距离作战
9000048601,I0289,titan bosang box,F,999999999,999999999,AI Gacha_8,泰坦箱,彻底击败巨型泰坦的象征，里面有各种稀有奖励。
2010028701,C0298,Machete 7day,W,800,7,Machete 7day,收割者,这是一把外形奇异的弯刀，也是战场上拿下敌人首级的收割利器。
2010028702,C0298,Machete 30day,W,2400,30,Machete 30day,收割者,这是一把外形奇异的弯刀，也是战场上拿下敌人首级的收割利器。
2010028703,C0298,Machete 90day,W,4500,90,Machete 90day,收割者,这是一把外形奇异的弯刀，也是战场上拿下敌人首级的收割利器。
2010028704,C0298,Machete 180day,W,6800,180,Machete 180day,收割者,这是一把外形奇异的弯刀，也是战场上拿下敌人首级的收割利器。
2010028801,C0299,L85A1 7day,W,1200,7,L85A1 7day,L85A1,英国产无托式突击步枪，性能稳定，火力强大，可以开镜进行精准射击。
2010028802,C0299,L85A1 30day,W,3600,30,L85A1 30day,L85A1,英国产无托式突击步枪，性能稳定，火力强大，可以开镜进行精准射击。
2010028803,C0299,L85A1 90day,W,5800,90,L85A1 90day,L85A1,英国产无托式突击步枪，性能稳定，火力强大，可以开镜进行精准射击。
2010028804,C0299,L85A1 180day,W,7800,180,L85A1 180day,L85A1,英国产无托式突击步枪，性能稳定，火力强大，可以开镜进行精准射击。
2010028901,C0300,M4A1-S Digital Camo 7day,W,1600,7,M4A1-S Digital Camo 7day,M4A1-轻骑兵,在M4A1的基础上加装了消音器，采用富有科技感的数码迷彩，换弹速度和切枪速度都得到了提高。由于采用了新材料，使得它更轻更快，俨然是M4A1系列中升起的一颗新星！
2010028902,C0300,M4A1-S Digital Camo 30day,W,4900,30,M4A1-S Digital Camo 30day,M4A1-轻骑兵,在M4A1的基础上加装了消音器，采用富有科技感的数码迷彩，换弹速度和切枪速度都得到了提高。由于采用了新材料，使得它更轻更快，俨然是M4A1系列中升起的一颗新星！
2010028903,C0300,M4A1-S Digital Camo 90day,W,7800,90,M4A1-S Digital Camo 90day,M4A1-轻骑兵,在M4A1的基础上加装了消音器，采用富有科技感的数码迷彩，换弹速度和切枪速度都得到了提高。由于采用了新材料，使得它更轻更快，俨然是M4A1系列中升起的一颗新星！
2010028904,C0300,M4A1-S Digital Camo 180day,W,9800,180,M4A1-S Digital Camo 180day,M4A1-轻骑兵,在M4A1的基础上加装了消音器，采用富有科技感的数码迷彩，换弹速度和切枪速度都得到了提高。由于采用了新材料，使得它更轻更快，俨然是M4A1系列中升起的一颗新星！
2010029001,C0301,Dual D.E-Valentine 7day,W,1500,7,Dual D.E-Valentine 7day,双枪沙鹰-魅影,不要被它迷人的外表所迷惑，这是强大的杀敌利器：双枪沙鹰-魅影，极高的杀伤力和充足的弹匣让它成为战场上一道最危险的魅影！
2010029002,C0301,Dual D.E-Valentine 30day,W,3000,30,Dual D.E-Valentine 30day,双枪沙鹰-魅影,不要被它迷人的外表所迷惑，这是强大的杀敌利器：双枪沙鹰-魅影，极高的杀伤力和充足的弹匣让它成为战场上一道最危险的魅影！
2010029101,C0302,Steyr AUG A3 7day,W,900,7,Steyr AUG A3 7day,斯泰尔 AUG A3,"世界名枪Steyr Aug系列的最新型
号，杀伤力不俗，由于加装了握把
，减小了后坐力，稳定性和准确度
更高，整体战斗力得到很大提升。"
2010029102,C0302,Steyr AUG A3 30day,W,2800,30,Steyr AUG A3 30day,斯泰尔 AUG A3,"世界名枪Steyr Aug系列的最新型
号，杀伤力不俗，由于加装了握把
，减小了后坐力，稳定性和准确度
更高，整体战斗力得到很大提升。"
2010029103,C0302,Steyr AUG A3 90day,W,5200,90,Steyr AUG A3 90day,斯泰尔 AUG A3,"世界名枪Steyr Aug系列的最新型
号，杀伤力不俗，由于加装了握把
，减小了后坐力，稳定性和准确度
更高，整体战斗力得到很大提升。"
2010029104,C0302,Steyr AUG A3 180day,W,7800,180,Steyr AUG A3 180day,斯泰尔 AUG A3,"世界名枪Steyr Aug系列的最新型
号，杀伤力不俗，由于加装了握把
，减小了后坐力，稳定性和准确度
更高，整体战斗力得到很大提升。"
9000048701,I0290,womens day spray 7day,F,11111,7,womens day spray 7day,妇女节喷图,专为女性玩家设计的喷图。姐妹们，战起来！装备后在游戏中按T键使用。
9000048702,I0290,womens day spray 30day,F,900,30,womens day spray 30day,妇女节喷图,专为女性玩家设计的喷图。姐妹们，战起来！装备后在游戏中按T键使用。
9000048801,I0291,womens day namecard 7day,F,11111,7,womens day namecard 7day,妇女节名片,专为女性玩家设计的名片。姐妹们，战起来！
9000048802,I0291,womens day namecard 30day,F,900,30,womens day namecard 30day,妇女节名片,专为女性玩家设计的名片。姐妹们，战起来！
1010041901,B0358,Anti-terror Backpack 7day,D,11111,7,Anti-terror Backpack 7day,战斗背包,更加轻便耐用的新材质背包，使用数码迷彩外观更增加了隐蔽性。装备后经验加成10%，可与其他经验加成道具叠加。
1010041902,B0358,Anti-terror Backpack 30day,D,1500,30,Anti-terror Backpack 30day,战斗背包,更加轻便耐用的新材质背包，使用数码迷彩外观更增加了隐蔽性。装备后经验加成10%，可与其他经验加成道具叠加。
1010042001,B0359,Anti-terror Bullet-proof Helmet 7day,D,11111,7,Anti-terror Bullet-proof Helmet 7day,战斗头盔,新材质制作的数码迷彩头盔，轻便耐用。装备后经验加成10%，可与其他经验加成道具叠加。
1010042002,B0359,Anti-terror Bullet-proof Helmet 30day,D,1800,30,Anti-terror Bullet-proof Helmet 30day,战斗头盔,新材质制作的数码迷彩头盔，轻便耐用。装备后经验加成10%，可与其他经验加成道具叠加。
1010042101,B0360,Anti-terror Protection Goggles 7day,D,1000,7,Anti-terror Protection Goggles 7day,战斗护目镜,新材质制作的护目镜，专为战场需要设计。装备后经验加成10%，可与其他经验加成道具叠加。
1010042102,B0360,Anti-terror Protection Goggles 30day,D,3000,30,Anti-terror Protection Goggles 30day,战斗护目镜,新材质制作的护目镜，专为战场需要设计。装备后经验加成10%，可与其他经验加成道具叠加。
1010042103,B0360,Anti-terror Protection Goggles 90day,D,4500,90,Anti-terror Protection Goggles 90day,战斗护目镜,新材质制作的护目镜，专为战场需要设计。装备后经验加成10%，可与其他经验加成道具叠加。
1010042104,B0360,Anti-terror Protection Goggles 180day,D,6000,180,Anti-terror Protection Goggles 180day,战斗护目镜,新材质制作的护目镜，专为战场需要设计。装备后经验加成10%，可与其他经验加成道具叠加。
1010042201,B0361,Anti-terror Water Bottle 30day,D,11111,7,Anti-terror Water Bottle 30day,战斗水壶,使用新材料加工处理的专业战斗用水壶，可长时间保存饮用水，野外生存必备。装备后经验加成10%，可与其他经验加成道具叠加。
1010042202,B0361,Anti-terror Water Bottle 30day,D,1500,30,Anti-terror Water Bottle 30day,战斗水壶,使用新材料加工处理的专业战斗用水壶，可长时间保存饮用水，野外生存必备。装备后经验加成10%，可与其他经验加成道具叠加。
2010029201,C0303,DSR-1 rusty 7day,W,1200,7,DSR-1 rusty 7day,DSR-1 老兵,身经百战的DSR-1老兵，枪身已经锈迹斑斑，但无法掩盖它在战场上的光芒！提高了装弹速度和切枪速度，整体战斗力大幅提升。
2010029202,C0303,DSR-1 rusty 30day,W,3600,30,DSR-1 rusty 30day,DSR-1 老兵,身经百战的DSR-1老兵，枪身已经锈迹斑斑，但无法掩盖它在战场上的光芒！提高了装弹速度和切枪速度，整体战斗力大幅提升。
2010029203,C0303,DSR-1 rusty 90day,W,5800,90,DSR-1 rusty 90day,DSR-1 老兵,身经百战的DSR-1老兵，枪身已经锈迹斑斑，但无法掩盖它在战场上的光芒！提高了装弹速度和切枪速度，整体战斗力大幅提升。
2010029204,C0303,DSR-1 rusty 180day,W,7900,180,DSR-1 rusty 180day,DSR-1 老兵,身经百战的DSR-1老兵，枪身已经锈迹斑斑，但无法掩盖它在战场上的光芒！提高了装弹速度和切枪速度，整体战斗力大幅提升。
2010029301,C0304,HK MP7A1 7day,W,900,7,HK MP7A1 7day,MP7A1,MP7A1是H&K公司生产的MP7的续作，减小了射击时的后坐力。改良后的曲线枪柄，提升了装弹速度。装备的消音器让射击更加精确。
2010029302,C0304,HK MP7A1 30day,W,2700,30,HK MP7A1 30day,MP7A1,MP7A1是H&K公司生产的MP7的续作，减小了射击时的后坐力。改良后的曲线枪柄，提升了装弹速度。装备的消音器让射击更加精确。
2010029303,C0304,HK MP7A1 90day,W,4200,90,HK MP7A1 90day,MP7A1,MP7A1是H&K公司生产的MP7的续作，减小了射击时的后坐力。改良后的曲线枪柄，提升了装弹速度。装备的消音器让射击更加精确。
2010029304,C0304,HK MP7A1 180day,W,5800,180,HK MP7A1 180day,MP7A1,MP7A1是H&K公司生产的MP7的续作，减小了射击时的后坐力。改良后的曲线枪柄，提升了装弹速度。装备的消音器让射击更加精确。
2010029401,C0305,M60E3 7day,W,1000,7,M60E3 7day,M60E3  ,M60的改良版，威力更强大，重量更平衡，由于采用了枪托设计，射击的稳定性得到大幅提升，新一代战场主力机枪。
2010029402,C0305,M60E3 30day,W,3000,30,M60E3 30day,M60E3  ,M60的改良版，威力更强大，重量更平衡，由于采用了枪托设计，射击的稳定性得到大幅提升，新一代战场主力机枪。
2010029403,C0305,M60E3 90day,W,4600,90,M60E3 90day,M60E3  ,M60的改良版，威力更强大，重量更平衡，由于采用了枪托设计，射击的稳定性得到大幅提升，新一代战场主力机枪。
2010029404,C0305,M60E3 180day,W,6200,180,M60E3 180day,M60E3  ,M60的改良版，威力更强大，重量更平衡，由于采用了枪托设计，射击的稳定性得到大幅提升，新一代战场主力机枪。
2010029501,C0306,M4A1-Stripes 7day,W,1800,7,M4A1-Stripes 7day,M4A1-黑虎,为军官特制的M4A1，弹匣容量增加至35发，采用黑色虎纹迷彩，极具震慑力。
2010029502,C0306,M4A1-Stripes 30day,W,5500,30,M4A1-Stripes 30day,M4A1-黑虎,为军官特制的M4A1，弹匣容量增加至35发，采用黑色虎纹迷彩，极具震慑力。
2010029503,C0306,M4A1-Stripes 90day,W,8500,90,M4A1-Stripes 90day,M4A1-黑虎,为军官特制的M4A1，弹匣容量增加至35发，采用黑色虎纹迷彩，极具震慑力。
2010029504,C0306,M4A1-Stripes 180day,W,10800,180,M4A1-Stripes 180day,M4A1-黑虎,为军官特制的M4A1，弹匣容量增加至35发，采用黑色虎纹迷彩，极具震慑力。
1010042302,B0362,cowboy hat 7day,D,700,7,cowboy hat 7day,牛仔帽,戴上它，像个孤胆牛仔一样去战斗！装备后经验增加10%，可叠加。
1010042301,B0362,cowboy hat 30day,D,2100,30,cowboy hat 30day,牛仔帽,戴上它，像个孤胆牛仔一样去战斗！装备后经验增加10%，可叠加。
9000048901,I0292,lying namecard_2012 7day,F,11111,7,lying namecard_2012 7day,“我在拆弹”名片,使用后将名称背景显示为“我在拆弹”名片。
9000048902,I0292,lying namecard_2012 30day,F,1800,30,lying namecard_2012 30day,“我在拆弹”名片,使用后将名称背景显示为“我在拆弹”名片。
9000049001,I0293,lying spray_2012 7day,F,11111,7,lying spray_2012 7day,“我在拆弹”喷图,"使用方法：在个人仓库中用左键激活,然后在游戏中按“T”键喷图。"
9000049002,I0293,lying spray_2012 30day,F,1800,30,lying spray_2012 30day,“我在拆弹”喷图,"使用方法：在个人仓库中用左键激活,然后在游戏中按“T”键喷图。"
2010029601,C0307,TYPE89,W,50000,999999999,TYPE89,89式突击步枪,基于美制AR-18突击步枪开发而成。采用5.56mm口径。89式突击步枪是一款精准至上的武器，造价也相当昂贵。
